stratum,va_type,level,experiment,null_model,n_simulations,n_reference,n_predicted,observed_csmf_accuracy,null_mean,null_sd,null_p2_5,null_p50,null_p97_5,observed_minus_null_mean,observed_percentile_vs_null,empirical_p_sim_ge_observed
va_type,child,level1,EXP4,overall_physician_prior,1000,912,911,0.9614350434263486,0.6927682731343543,0.016701731239929147,0.6581655366134745,0.6932702096572254,0.7250794646435229,0.26866677029199426,1.0,0.000999000999000999
va_type,child,level1,EXP4,stratum_physician_prior,1000,912,911,0.9614350434263486,0.9836633947395277,0.008176362539050954,0.9661360519326647,0.9850336402398501,0.9963245268835672,-0.02222835131317913,0.015,0.985014985014985
va_type,child,level2,EXP1,uniform_codes,1000,912,912,0.8782894736842105,0.34605927552140503,0.011412780215809354,0.3249176728869373,0.3457738748627882,0.36992316136114145,0.5322301981628055,1.0,0.000999000999000999
va_type,child,level2,EXP1,overall_physician_prior,1000,912,912,0.8782894736842105,0.5539242590559825,0.015814042926571716,0.5236004390779364,0.5543358946212953,0.5850713501646543,0.324365214628228,1.0,0.000999000999000999
va_type,child,level2,EXP1,stratum_physician_prior,1000,912,912,0.8782894736842105,0.9563830954994512,0.009014890052880972,0.9363336992316136,0.9571899012074644,0.9714599341383096,-0.07809362181524071,0.0,1.0
va_type,child,level2,EXP2,uniform_codes,1000,912,911,0.848902064436613,0.3457311346501655,0.01105463688409372,0.3239513158481351,0.34591605707049233,0.3678646220543884,0.5031709297864475,1.0,0.000999000999000999
va_type,child,level2,EXP2,overall_physician_prior,1000,912,911,0.848902064436613,0.5539152907324915,0.015611762284727763,0.5217111026230208,0.5535779911581946,0.5843460401652688,0.2949867737041215,1.0,0.000999000999000999
va_type,child,level2,EXP2,stratum_physician_prior,1000,912,911,0.848902064436613,0.9567654716533261,0.008846465127036796,0.9369982203125359,0.9574375151369829,0.9717771932509238,-0.10786340721671317,0.0,1.0
va_type,child,level2,EXP3,uniform_codes,1000,912,869,0.8668652716370904,0.3459403733172995,0.011101368405946895,0.32398040065230094,0.3461458784653492,0.3681054595476082,0.5209248983197909,1.0,0.000999000999000999
va_type,child,level2,EXP3,overall_physician_prior,1000,912,869,0.8668652716370904,0.5525894596031877,0.016059929533248044,0.5225279129018933,0.5523457700853523,0.5841417516885428,0.31427581203390265,1.0,0.000999000999000999
va_type,child,level2,EXP3,stratum_physician_prior,1000,912,869,0.8668652716370904,0.9555548133729295,0.008802371506330939,0.9374135202151432,0.956359998433669,0.9706196417902152,-0.0886895417358391,0.0,1.0
va_type,child,level2,EXP4,uniform_codes,1000,912,911,0.86532415698962,0.3460569030064307,0.010747642098787003,0.3250227431285627,0.34592931134409166,0.36896282899215704,0.5192672539831893,1.0,0.000999000999000999
va_type,child,level2,EXP4,overall_physician_prior,1000,912,911,0.86532415698962,0.5539814102788095,0.015356711835524235,0.5227684321760746,0.5546672514612836,0.5832799447176298,0.3113427467108104,1.0,0.000999000999000999
va_type,child,level2,EXP4,stratum_physician_prior,1000,912,911,0.86532415698962,0.9567347843951413,0.009066627036610481,0.935892331920749,0.9580387771848164,0.9715794033408,-0.0914106274055213,0.0,1.0
va_type,child,level3,EXP1,uniform_codes,1000,912,912,0.6918859649122807,0.4117607025246981,0.013151490479597055,0.3863885839736553,0.411635565312843,0.4390779363336992,0.2801252623875826,1.0,0.000999000999000999
va_type,child,level3,EXP1,overall_physician_prior,1000,912,912,0.6918859649122807,0.6143633369923162,0.014842466313880474,0.58397365532382,0.6147091108671789,0.6421514818880352,0.07752262791996456,1.0,0.000999000999000999
va_type,child,level3,EXP1,stratum_physician_prior,1000,912,912,0.6918859649122807,0.9379956092206366,0.00962652170017036,0.9165751920965971,0.9385290889132821,0.9538968166849616,-0.2461096443083559,0.0,1.0
va_type,child,level3,EXP2,uniform_codes,1000,912,911,0.7415795251025478,0.4106384583592896,0.01273673643195044,0.38547328601155995,0.4107487339156377,0.4349251314281721,0.3309410667432582,1.0,0.000999000999000999
va_type,child,level3,EXP2,overall_physician_prior,1000,912,911,0.7415795251025478,0.615342360296944,0.01527264321741252,0.5854325291202415,0.6161682858970914,0.6447674537696961,0.12623716480560376,1.0,0.000999000999000999
va_type,child,level3,EXP2,stratum_physician_prior,1000,912,911,0.7415795251025478,0.9382225476882738,0.009990490215149564,0.9179162233513792,0.9388646630221431,0.956589362120009,-0.19664302258572608,0.0,1.0
va_type,child,level3,EXP3,uniform_codes,1000,912,869,0.6911730563462742,0.4105229789593752,0.013348968961442012,0.38290671867559134,0.4108271364312158,0.43567280862088353,0.28065007738689907,1.0,0.000999000999000999
va_type,child,level3,EXP3,overall_physician_prior,1000,912,869,0.6911730563462742,0.6135761129476202,0.015777315100836298,0.5814501572015224,0.6136853114788059,0.6435180424905168,0.07759694339865408,1.0,0.000999000999000999
va_type,child,level3,EXP3,stratum_physician_prior,1000,912,869,0.6911730563462742,0.936485600492131,0.009800990658635846,0.9160742188240139,0.9370442324283561,0.9539742490137799,-0.2453125441458568,0.0,1.0
va_type,child,level3,EXP4,uniform_codes,1000,912,911,0.7404312785256225,0.4118356349580261,0.012789613150428277,0.38769593732415497,0.41184763369043553,0.43716901970187516,0.3285956435675964,1.0,0.000999000999000999
va_type,child,level3,EXP4,overall_physician_prior,1000,912,911,0.7404312785256225,0.6141446896752822,0.01541095325108514,0.5842986561371504,0.6140313355126572,0.6437239809572235,0.12628658885034028,1.0,0.000999000999000999
va_type,child,level3,EXP4,stratum_physician_prior,1000,912,911,0.7404312785256225,0.9382356886980808,0.010136640101516261,0.9171106647500185,0.9388984011731236,0.9565408635279744,-0.1978044101724583,0.0,1.0
va_type,infant,level1,EXP1,uniform_codes,1000,501,501,0.8423153692614771,0.24344,0.017969788905641413,0.20799999999999996,0.244,0.28,0.5988753692614771,1.0,0.000999000999000999
va_type,infant,level1,EXP1,overall_physician_prior,1000,501,501,0.8423153692614771,0.17381,0.01514295906384249,0.14600000000000002,0.17399999999999993,0.20400000000000007,0.6685053692614771,1.0,0.000999000999000999
va_type,infant,level1,EXP1,stratum_physician_prior,1000,501,501,0.8423153692614771,0.990068,0.00508696896523394,0.978,0.99,0.998,-0.14775263073852285,0.0,1.0
va_type,infant,level1,EXP2,uniform_codes,1000,501,499,0.7553350213400853,0.24293011623246497,0.017702187100957185,0.21067334669338678,0.24280160320641286,0.27698807615230453,0.5124049051076204,1.0,0.000999000999000999
va_type,infant,level1,EXP2,overall_physician_prior,1000,501,499,0.7553350213400853,0.17357531462925851,0.014435534201123996,0.14440881763527058,0.17252905811623254,0.20264128256513025,0.5817597067108269,1.0,0.000999000999000999
va_type,infant,level1,EXP2,stratum_physician_prior,1000,501,499,0.7553350213400853,0.9900763086172344,0.005163606880437899,0.9777753507014029,0.9917915831663326,0.9978316633266533,-0.23474128727714905,0.0,1.0
va_type,infant,level1,EXP3,uniform_codes,1000,501,421,0.8966437670976337,0.24239285985748216,0.01929129280582789,0.20616377672209016,0.2419239904988124,0.28238479809976236,0.6542509072401516,1.0,0.000999000999000999
